time,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,59
2022年01月26日 13時00分,21.1,21.1,21.2,21.1,21.4,21.3,21.3,21.5,21.9,22.2,21.4,21.7,21.6,21.7,21.6,21.6,21.7,21.7,21.8,21.6,21.9,21.9,22.0,21.7,21.9,22.0,21.9,21.8,21.8,21.8,21.9,21.9,22.0,22.0,21.8,22.0,21.9,22.0,21.8,21.9,21.9,22.1,22.1,22.0,22.0,22.0,22.1,22.1,22.0,21.9,22.0,22.1,22.0,21.9,22.0
2022年01月26日 13時01分,21.1,21.1,21.2,21.1,21.4,21.3,21.3,21.5,21.9,22.2,21.4,21.7,21.6,21.7,21.7,21.7,21.7,21.7,21.7,21.6,21.9,21.9,21.9,21.7,21.9,21.9,21.9,21.8,21.8,21.8,21.9,21.9,22.0,22.0,21.8,22.0,21.9,22.0,21.8,21.8,21.9,22.1,22.1,22.0,22.0,22.0,22.0,22.1,22.0,22.0,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時02分,21.1,21.1,21.2,21.0,21.5,21.3,21.3,21.5,21.9,22.2,21.4,21.7,21.6,21.7,21.7,21.6,21.7,21.7,21.7,21.6,21.9,21.9,21.9,21.7,21.8,21.9,21.9,21.8,21.8,21.8,21.9,21.9,22.0,22.0,21.8,22.0,21.9,22.0,21.8,21.8,21.9,22.0,22.1,22.0,22.0,22.0,22.0,22.1,22.0,21.9,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時03分,21.1,21.1,21.1,21.0,21.4,21.3,21.3,21.5,21.9,22.2,21.4,21.7,21.6,21.7,21.7,21.6,21.7,21.7,21.7,21.6,21.9,21.9,21.9,21.7,21.8,21.9,21.9,21.8,21.8,21.7,21.9,21.9,22.0,22.0,21.8,22.0,21.9,22.0,21.8,21.8,21.9,22.0,22.0,22.0,22.0,22.0,22.0,22.1,22.0,21.9,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時04分,21.1,21.1,21.1,21.0,21.4,21.3,21.3,21.5,21.9,22.2,21.4,21.6,21.6,21.6,21.6,21.6,21.7,21.7,21.7,21.6,21.9,21.9,21.9,21.7,21.8,22.0,21.9,21.8,21.8,21.7,21.9,22.0,22.0,22.0,21.8,22.0,21.9,22.0,21.8,21.8,21.9,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.9,22.0,22.1,21.9,21.9,22.0
2022年01月26日 13時05分,21.1,21.0,21.1,21.0,21.4,21.3,21.3,21.5,21.9,22.2,21.4,21.6,21.6,21.6,21.6,21.6,21.7,21.7,21.7,21.6,21.9,21.9,21.9,21.7,21.8,21.9,21.9,21.8,21.8,21.7,21.9,21.9,22.0,22.0,21.8,22.0,21.9,21.9,21.8,21.8,21.9,22.0,22.0,22.0,22.0,22.1,22.0,22.0,22.0,21.9,22.0,22.1,21.9,21.8,22.0
2022年01月26日 13時06分,21.1,21.0,21.2,21.0,21.5,21.3,21.4,21.5,21.9,22.1,21.4,21.6,21.6,21.6,21.6,21.6,21.7,21.7,21.7,21.6,21.8,21.9,21.9,21.7,21.8,21.9,21.8,21.8,21.8,21.8,21.8,21.9,22.0,22.0,21.8,22.0,21.9,21.9,21.8,21.8,21.9,22.0,22.0,22.0,21.9,22.0,22.0,22.0,22.0,21.9,22.0,22.1,21.9,21.8,22.0
2022年01月26日 13時07分,21.1,21.0,21.1,21.0,21.4,21.3,21.3,21.5,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.6,21.7,21.7,21.7,21.6,21.8,21.9,21.9,21.7,21.8,21.9,21.8,21.8,21.8,21.7,21.8,21.9,22.0,22.0,21.8,22.0,21.9,21.9,21.8,21.8,21.9,22.0,22.0,22.0,21.9,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時08分,21.1,21.0,21.1,21.0,21.4,21.3,21.3,21.5,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.6,21.7,21.7,21.7,21.5,21.8,21.9,21.9,21.7,21.8,21.9,21.8,21.8,21.8,21.7,21.8,21.9,21.9,22.0,21.8,22.0,21.9,21.9,21.7,21.8,21.9,22.0,22.0,21.9,21.9,22.0,22.0,22.0,22.0,21.9,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時09分,21.0,21.0,21.1,21.0,21.4,21.2,21.3,21.5,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.6,21.7,21.7,21.7,21.5,21.8,21.8,21.8,21.7,21.8,21.9,21.9,21.8,21.8,21.7,21.8,21.9,21.9,22.0,21.8,22.0,21.9,21.9,21.7,21.8,21.9,22.0,22.0,21.9,21.9,22.0,22.0,22.0,21.9,21.9,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時10分,21.0,21.0,21.1,21.0,21.4,21.2,21.3,21.4,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.6,21.7,21.7,21.7,21.5,21.8,21.8,21.8,21.7,21.8,21.9,21.9,21.8,21.7,21.7,21.8,21.9,21.9,22.0,21.8,22.0,21.9,21.9,21.7,21.8,21.8,22.0,22.0,21.9,21.9,22.0,22.0,22.0,21.9,21.9,22.0,22.0,21.9,21.8,22.0
2022年01月26日 13時11分,21.0,21.0,21.1,21.0,21.4,21.2,21.2,21.4,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.6,21.6,21.6,21.7,21.6,21.8,21.8,21.8,21.7,21.8,21.8,21.9,21.8,21.7,21.7,21.8,21.8,21.9,22.0,21.7,22.0,21.9,21.9,21.7,21.7,21.8,22.0,22.0,21.9,21.9,22.0,21.9,22.0,21.9,21.9,22.0,22.0,21.9,21.8,21.9
2022年01月26日 13時12分,21.0,21.0,21.1,21.0,21.4,21.2,21.2,21.4,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.5,21.6,21.6,21.7,21.5,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.7,21.8,21.8,21.9,21.9,21.7,22.0,21.9,21.9,21.7,21.7,21.8,22.0,22.0,21.9,21.9,22.0,21.9,22.0,21.9,21.9,21.9,22.0,21.9,21.8,21.9
2022年01月26日 13時13分,21.0,21.0,21.1,21.0,21.4,21.2,21.2,21.4,21.8,22.1,21.4,21.6,21.5,21.6,21.6,21.5,21.6,21.6,21.6,21.5,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.7,21.8,21.8,21.9,21.9,21.7,21.9,21.9,21.9,21.7,21.7,21.8,22.0,21.9,21.9,21.9,22.0,21.9,22.0,21.9,21.9,21.9,22.0,21.9,21.8,21.9
2022年01月26日 13時14分,21.0,21.0,21.1,21.0,21.4,21.2,21.2,21.4,21.8,22.1,21.4,21.5,21.5,21.5,21.6,21.5,21.6,21.6,21.6,21.5,21.8,21.8,21.8,21.7,21.8,21.9,21.8,21.7,21.7,21.7,21.8,21.8,21.9,21.9,21.7,21.9,21.9,21.9,21.7,21.8,21.8,22.0,21.9,21.9,21.9,22.0,21.9,21.9,21.9,21.9,21.9,22.0,21.9,21.8,21.9
2022年01月26日 13時15分,21.0,21.0,21.1,21.0,21.3,21.2,21.2,21.4,21.8,22.1,21.4,21.5,21.5,21.5,21.6,21.5,21.6,21.6,21.6,21.5,21.8,21.8,21.8,21.6,21.8,21.9,21.8,21.7,21.7,21.6,21.8,21.8,21.9,21.9,21.7,21.9,21.8,21.9,21.7,21.7,21.8,22.0,21.9,21.9,21.9,22.0,21.9,21.9,21.9,21.9,21.9,22.0,21.9,21.8,21.9
2022年01月26日 13時16分,21.0,21.0,21.1,20.9,21.3,21.2,21.2,21.4,21.8,22.1,21.3,21.5,21.5,21.5,21.5,21.5,21.6,21.6,21.7,21.5,21.7,21.8,21.8,21.6,21.7,21.9,21.8,21.7,21.7,21.6,21.7,21.8,21.9,21.9,21.7,21.9,21.8,21.9,21.7,21.7,21.8,21.9,21.9,21.9,21.8,22.0,21.9,21.9,21.9,21.8,21.9,22.0,21.9,21.8,21.9
2022年01月26日 13時17分,20.9,20.9,21.1,20.9,21.3,21.1,21.2,21.4,21.8,22.1,21.3,21.5,21.5,21.5,21.5,21.5,21.6,21.6,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.8,21.7,21.7,21.6,21.7,21.8,21.9,21.9,21.7,21.9,21.8,21.8,21.7,21.7,21.8,21.9,21.9,21.9,21.8,22.0,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時18分,20.9,20.9,21.1,20.9,21.3,21.1,21.2,21.4,21.8,22.0,21.3,21.5,21.5,21.5,21.5,21.5,21.6,21.6,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.8,21.7,21.7,21.7,21.7,21.8,21.8,21.9,21.7,21.9,21.8,21.8,21.7,21.7,21.8,21.9,21.9,21.9,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時19分,20.9,20.9,21.0,21.0,21.3,21.1,21.2,21.4,21.8,22.0,21.3,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.8,21.7,21.7,21.7,21.7,21.8,21.8,21.9,21.7,21.9,21.8,21.8,21.7,21.7,21.8,21.9,21.9,21.9,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時20分,21.0,20.9,21.0,21.0,21.3,21.1,21.2,21.3,21.8,22.0,21.3,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.8,21.7,21.7,21.7,21.7,21.8,21.8,21.9,21.7,21.9,21.8,21.8,21.6,21.7,21.7,21.9,21.9,21.8,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時21分,20.9,20.9,21.0,21.0,21.3,21.1,21.2,21.3,21.7,22.1,21.3,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.8,21.7,21.7,21.7,21.7,21.8,21.8,21.9,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.9,21.9,21.8,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時22分,20.9,20.9,21.0,20.9,21.4,21.1,21.2,21.3,21.7,22.1,21.3,21.5,21.5,21.5,21.5,21.4,21.6,21.5,21.6,21.5,21.7,21.8,21.8,21.6,21.7,21.8,21.7,21.7,21.7,21.7,21.7,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.9,21.9,21.8,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.8,21.9
2022年01月26日 13時23分,20.9,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.1,21.3,21.5,21.5,21.5,21.5,21.4,21.5,21.5,21.6,21.5,21.7,21.7,21.7,21.6,21.7,21.8,21.7,21.7,21.7,21.6,21.7,21.7,21.8,21.8,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.9,21.9,21.9,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.7,21.9
2022年01月26日 13時24分,20.9,20.9,21.1,20.9,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.5,21.5,21.5,21.5,21.4,21.5,21.5,21.6,21.4,21.7,21.7,21.7,21.6,21.7,21.8,21.7,21.6,21.7,21.6,21.7,21.7,21.8,21.8,21.7,21.9,21.8,21.8,21.6,21.7,21.7,21.9,21.9,21.8,21.8,21.9,21.9,21.9,21.8,21.8,21.9,21.9,21.8,21.7,21.9
2022年01月26日 13時25分,20.9,20.9,21.0,21.0,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.5,21.5,21.5,21.5,21.4,21.5,21.5,21.6,21.4,21.7,21.7,21.7,21.6,21.7,21.8,21.7,21.6,21.7,21.6,21.8,21.7,21.8,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.8,21.9,21.8,21.8,21.8,21.9,21.8,21.9,21.8,21.8,21.9,21.9,21.8,21.7,21.9
2022年01月26日 13時26分,21.0,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.5,21.5,21.5,21.5,21.4,21.6,21.5,21.6,21.4,21.7,21.7,21.8,21.6,21.7,21.8,21.7,21.6,21.7,21.7,21.7,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.8,21.8,21.8,21.8,21.9,21.8,21.9,21.8,21.7,21.8,21.9,21.8,21.7,21.9
2022年01月26日 13時27分,20.9,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.1,21.3,21.5,21.4,21.5,21.5,21.4,21.5,21.5,21.6,21.5,21.7,21.7,21.7,21.6,21.7,21.8,21.7,21.7,21.7,21.6,21.7,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.8,21.8,21.8,21.8,21.9,21.8,21.9,21.8,21.7,21.8,21.9,21.8,21.7,21.8
2022年01月26日 13時28分,20.9,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.5,21.4,21.4,21.5,21.4,21.5,21.5,21.6,21.4,21.7,21.7,21.7,21.6,21.6,21.8,21.7,21.6,21.7,21.6,21.7,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.6,21.7,21.7,21.8,21.8,21.8,21.8,21.9,21.8,21.9,21.8,21.7,21.8,21.9,21.8,21.8,21.8
2022年01月26日 13時29分,20.9,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.5,21.4,21.4,21.5,21.4,21.5,21.5,21.5,21.4,21.7,21.7,21.7,21.5,21.6,21.7,21.7,21.6,21.7,21.5,21.7,21.7,21.8,21.8,21.7,21.8,21.7,21.7,21.6,21.6,21.7,21.8,21.8,21.8,21.8,21.9,21.8,21.9,21.7,21.8,21.8,21.9,21.7,21.7,21.8
2022年01月26日 13時30分,20.9,20.9,21.0,20.9,21.3,21.1,21.2,21.3,21.7,22.0,21.3,21.4,21.4,21.4,21.5,21.4,21.5,21.5,21.5,21.4,21.6,21.7,21.7,21.5,21.6,21.7,21.7,21.6,21.6,21.5,21.7,21.7,21.8,21.8,21.7,21.8,21.7,21.7,21.6,21.6,21.7,21.8,21.9,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.8,21.9,21.7,21.7,21.8
2022年01月26日 13時31分,20.9,20.8,21.0,20.9,21.3,21.1,21.1,21.3,21.7,22.0,21.3,21.4,21.4,21.4,21.5,21.4,21.5,21.5,21.5,21.4,21.6,21.7,21.7,21.5,21.6,21.7,21.7,21.6,21.6,21.5,21.7,21.7,21.8,21.8,21.7,21.8,21.7,21.7,21.6,21.6,21.7,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.8,21.8,21.7,21.7,21.8
2022年01月26日 13時32分,20.9,20.8,21.0,20.9,21.3,21.1,21.1,21.3,21.7,22.0,21.3,21.4,21.4,21.4,21.4,21.4,21.5,21.5,21.5,21.4,21.6,21.7,21.7,21.5,21.6,21.7,21.7,21.6,21.6,21.5,21.7,21.7,21.8,21.8,21.7,21.8,21.7,21.7,21.6,21.6,21.6,21.8,21.8,21.8,21.7,21.8,21.8,21.8,21.7,21.7,21.8,21.8,21.7,21.7,21.8
